# LAMMPS data file written by OVITO Pro 3.12.1

15040 atoms
4 atom types

-30.0675 33.2325 xlo xhi
-30.0675 33.2325 ylo yhi
-30.0675 33.2325 zlo zhi

Masses

1 183.84  # W
2 1.0  # Type 2
3 1.0  # Type 3
4 1.0  # Type 4

Atoms  # atomic

636 1 -30.0675 23.7375 -30.0675
637 1 -28.485 25.32 -28.485
638 4 -30.0675 23.7375 -26.9025
639 2 -28.485 25.32 -25.32
640 3 -30.0675 23.7375 -23.7375
641 3 -30.0675 23.7375 -20.5725
642 2 -28.485 25.32 -18.99
643 3 -30.0675 23.7375 -17.4075
644 1 -30.0675 23.7375 -14.2425
645 4 -28.485 25.32 -12.66
646 1 -30.0675 23.7375 -11.0775
647 1 -28.485 25.32 -9.495
648 4 -30.0675 23.7375 -7.9125
649 4 -28.485 25.32 -6.33
650 1 -30.0675 23.7375 -4.7475
651 3 -28.485 25.32 -3.165
652 3 -30.0675 23.7375 -1.5825
653 1 -28.485 25.32 0.0
654 1 -30.0675 23.7375 1.5825
655 2 -28.485 25.32 3.165
656 2 -30.0675 23.7375 4.7475
657 2 -28.485 25.32 6.33
658 4 -30.0675 23.7375 7.9125
659 2 -28.485 25.32 9.495
660 2 -30.0675 23.7375 11.0775
661 4 -28.485 25.32 12.66
662 2 -30.0675 23.7375 14.2425
663 2 -28.485 25.32 15.825
664 4 -30.0675 23.7375 17.4075
665 4 -28.485 25.32 18.99
666 3 -30.0675 23.7375 20.5725
667 4 -28.485 25.32 22.155
668 1 -30.0675 23.7375 23.7375
669 2 -30.0675 23.7375 26.9025
670 2 -30.0675 23.7375 30.0675
671 3 -28.485 25.32 31.65
